turnover_id,Client_ID,Partner_ID,Currency_ID,Game_ID,Provider_ID,Product_ID,Is_RakeTransaction,Is_Calculated,Is_Rollbacked,Is_Bonus,Bet_Amount,Win_Amount,BonusBet_Amount,BonusWin_Amount,RakeBet_Amount,RakeWin_Amount,BetAmountIn_EUR,WinAmountIn_EUR,BonusBetAmountIn_EUR,BonusWinAmountIn_EUR,RakeBetAmountIn_EUR,RakeWinAmountIn_EUR
375,181,5,Currency A,360,331,441,FALSE,TRUE,FALSE,FALSE,150,0,0,0,0,0,1.71610665,0,0,0,0,0
376,189,5,Currency A,358,361,441,FALSE,TRUE,FALSE,FALSE,250,0,0,0,0,0,2.86017775,0,0,0,0,0
377,192,5,Currency A,361,337,441,FALSE,TRUE,FALSE,FALSE,250,0,0,0,0,0,2.86017775,0,0,0,0,0
378,180,5,Currency A,296,337,441,FALSE,TRUE,FALSE,FALSE,250,0,0,0,0,0,2.86017775,0,0,0,0,0
379,193,5,Currency A,362,331,441,FALSE,TRUE,FALSE,FALSE,44.55,0,0,0,0,0,0.509683675,0,0,0,0,0
380,181,5,Currency A,363,332,441,FALSE,TRUE,FALSE,FALSE,25,450,0,0,0,0,0.286017775,5.14831995,0,0,0,0
381,194,5,Currency A,295,337,441,FALSE,TRUE,FALSE,FALSE,25,0,0,0,0,0,0.286017775,0,0,0,0,0
382,195,5,Currency A,277,337,441,FALSE,TRUE,FALSE,FALSE,25,0,0,0,0,0,0.286017775,0,0,0,0,0
383,111,5,Currency A,221,331,441,FALSE,TRUE,FALSE,FALSE,142.5,200.65,0,0,0,0,1.630301318,2.295578663,0,0,0,0
384,188,5,Currency A,364,333,441,FALSE,TRUE,FALSE,FALSE,350,375,0,0,0,0,4.00424885,4.290266625,0,0,0,0
385,196,5,Currency A,335,337,441,FALSE,TRUE,FALSE,FALSE,350,350,0,0,0,0,4.00424885,4.00424885,0,0,0,0
386,192,5,Currency A,361,337,441,FALSE,TRUE,FALSE,FALSE,350,0,0,0,0,0,4.00424885,0,0,0,0,0
387,181,5,Currency A,348,360,441,FALSE,TRUE,FALSE,FALSE,125,0,0,0,0,0,1.430088875,0,0,0,0,0
388,188,5,Currency A,357,332,441,FALSE,TRUE,FALSE,FALSE,125,0,0,0,0,0,1.430088875,0,0,0,0,0
389,197,5,Currency A,365,337,441,FALSE,TRUE,FALSE,FALSE,125,0,0,0,0,0,1.430088875,0,0,0,0,0
390,198,5,Currency A,335,337,441,FALSE,TRUE,FALSE,FALSE,125,0,0,0,0,0,1.430088875,0,0,0,0,0
391,189,5,Currency A,327,337,441,FALSE,TRUE,FALSE,FALSE,125,250,0,0,0,0,1.430088875,2.86017775,0,0,0,0
392,189,5,Currency A,327,337,441,FALSE,TRUE,FALSE,FALSE,125,0,0,0,0,0,1.430088875,0,0,0,0,0
393,183,5,Currency A,366,332,441,FALSE,TRUE,FALSE,FALSE,125,0,0,0,0,0,1.430088875,0,0,0,0,0
394,199,5,Currency A,367,332,441,FALSE,TRUE,FALSE,FALSE,287.5,0,0,0,0,0,3.289204413,0,0,0,0,0
